D,T,Y,S
100000000000.0,1000.0,0.509090909090909,-521574483.0
100000000000.0,1001.2325096394138,0.509090909090909,-521400474.0
100000000000.0,1002.4650192788275,0.509090909090909,-521227239.0
100000000000.0,1003.6975289182413,0.509090909090909,-521054677.0
100000000000.0,1004.930038557655,0.509090909090909,-520882562.0
100000000000.0,1006.1625481970689,0.509090909090909,-520711058.0
100000000000.0,1007.3950578364826,0.509090909090909,-520540413.0
100000000000.0,1008.6275674758964,0.509090909090909,-520370307.0
100000000000.0,1009.8600771153101,0.509090909090909,-520200750.0
100000000000.0,1011.0925867547239,0.509090909090909,-520031678.0
100000000000.0,1012.3250963941376,0.509090909090909,-519863528.0
100000000000.0,1013.5576060335515,0.509090909090909,-519695643.0
100000000000.0,1014.7901156729652,0.509090909090909,-519528399.0
100000000000.0,1016.022625312379,0.509090909090909,-519362130.0
100000000000.0,1017.2551349517928,0.509090909090909,-519196043.0
100000000000.0,1018.4876445912065,0.509090909090909,-519030509.0
100000000000.0,1019.7201542306203,0.509090909090909,-518865830.0
100000000000.0,1020.952663870034,0.509090909090909,-518701456.0
100000000000.0,1022.1851735094478,0.509090909090909,-518537617.0
100000000000.0,1023.4176831488616,0.509090909090909,-518374653.0
100000000000.0,1024.6501927882753,0.509090909090909,-518212024.0
100000000000.0,1025.882702427689,0.509090909090909,-518049854.0
100000000000.0,1027.115212067103,0.509090909090909,-517888400.0
100000000000.0,1028.3477217065167,0.509090909090909,-517727492.0
100000000000.0,1029.5802313459303,0.509090909090909,-517566747.0
100000000000.0,1030.8127409853441,0.509090909090909,-517406867.0
100000000000.0,1032.045250624758,0.509090909090909,-517247409.0
100000000000.0,1033.2777602641718,0.509090909090909,-517088313.0
100000000000.0,1034.5102699035856,0.509090909090909,-516929787.0
100000000000.0,1035.7427795429992,0.509090909090909,-516771818.0
100000000000.0,1036.975289182413,0.509090909090909,-516614059.0
100000000000.0,1038.2077988218268,0.509090909090909,-516457013.0
100000000000.0,1039.4403084612406,0.509090909090909,-516300454.0
100000000000.0,1040.6728181006542,0.509090909090909,-516144136.0
100000000000.0,1041.905327740068,0.509090909090909,-515988335.0
100000000000.0,1043.1378373794819,0.509090909090909,-515833034.0
100000000000.0,1044.3703470188957,0.509090909090909,-515678151.0
100000000000.0,1045.6028566583093,0.509090909090909,-515523712.0
100000000000.0,1046.835366297723,0.509090909090909,-515369589.0
100000000000.0,1048.067875937137,0.509090909090909,-515215820.0
100000000000.0,1049.3003855765508,0.509090909090909,-515062533.0
100000000000.0,1050.5328952159643,0.509090909090909,-514909692.0
100000000000.0,1051.7654048553782,0.509090909090909,-514757061.0
100000000000.0,1052.997914494792,0.509090909090909,-514604848.0
100000000000.0,1054.2304241342058,0.509090909090909,-514453028.0
100000000000.0,1055.4629337736196,0.509090909090909,-514301519.0
100000000000.0,1056.6954434130332,0.509090909090909,-514150341.0
100000000000.0,1057.927953052447,0.509090909090909,-513999521.0
100000000000.0,1059.1604626918609,0.509090909090909,-513849004.0
100000000000.0,1060.3929723312747,0.509090909090909,-513698721.0
100000000000.0,1061.6254819706883,0.509090909090909,-513548807.0
100000000000.0,1062.857991610102,0.509090909090909,-513399138.0
100000000000.0,1064.090501249516,0.509090909090909,-513249790.0
100000000000.0,1065.3230108889297,0.509090909090909,-513100677.0
100000000000.0,1066.5555205283433,0.509090909090909,-512951837.0
100000000000.0,1067.7880301677571,0.509090909090909,-512803221.0
100000000000.0,1069.020539807171,0.509090909090909,-512654889.0
100000000000.0,1070.2530494465848,0.509090909090909,-512506773.0
100000000000.0,1071.4855590859984,0.509090909090909,-512358713.0
100000000000.0,1072.7180687254122,0.509090909090909,-512211083.0
100000000000.0,1073.950578364826,0.509090909090909,-512063532.0
100000000000.0,1075.1830880042398,0.509090909090909,-511916107.0
100000000000.0,1076.4155976436537,0.509090909090909,-511768920.0
100000000000.0,1077.6481072830672,0.509090909090909,-511621901.0
100000000000.0,1078.880616922481,0.509090909090909,-511475091.0
100000000000.0,1080.113126561895,0.509090909090909,-511328180.0
100000000000.0,1081.3456362013087,0.509090909090909,-511181673.0
100000000000.0,1082.5781458407223,0.509090909090909,-511035108.0
100000000000.0,1083.8106554801361,0.509090909090909,-510888700.0
100000000000.0,1085.04316511955,0.509090909090909,-510742460.0
100000000000.0,1086.2756747589638,0.509090909090909,-510596034.0
100000000000.0,1087.5081843983776,0.509090909090909,-510449838.0
100000000000.0,1088.7406940377912,0.509090909090909,-510303773.0
100000000000.0,1089.973203677205,0.509090909090909,-510157550.0
100000000000.0,1091.2057133166188,0.509090909090909,-510011501.0
100000000000.0,1092.4382229560326,0.509090909090909,-509865576.0
100000000000.0,1093.6707325954462,0.509090909090909,-509719414.0
100000000000.0,1094.90324223486,0.509090909090909,-509573311.0
100000000000.0,1096.1357518742739,0.509090909090909,-509427321.0
100000000000.0,1097.3682615136877,0.509090909090909,-509281239.0
100000000000.0,1098.6007711531013,0.509090909090909,-509134774.0
100000000000.0,1099.833280792515,0.509090909090909,-508988701.0
100000000000.0,1101.065790431929,0.509090909090909,-508842344.0
100000000000.0,1102.2983000713427,0.509090909090909,-508695747.0
100000000000.0,1103.5308097107563,0.509090909090909,-508549379.0
100000000000.0,1104.7633193501701,0.509090909090909,-508402651.0
100000000000.0,1105.995828989584,0.509090909090909,-508255766.0
100000000000.0,1107.2283386289978,0.509090909090909,-508108983.0
100000000000.0,1108.4608482684116,0.509090909090909,-507961803.0
100000000000.0,1109.6933579078252,0.509090909090909,-507814457.0
