x,y,z,E
10000000000000.0,10000000000.0,0.509090909090909,31126785101525467136
10000000000000.0,10000000000.0,0.499009900990099,30306622740049043456
10000000000000.0,10000000000.0,0.4893203883495146,29523520412226772992
10000000000000.0,10000000000.0,0.48,28775131818929639424
10000000000000.0,10000000000.0,0.47102803738317756,28059300162958540800
10000000000000.0,10000000000.0,0.4623853211009174,27374039633075654656
10000000000000.0,10000000000.0,0.4540540540540541,26717519019005829120
10000000000000.0,10000000000.0,0.44601769911504424,26088047174642135040
10000000000000.0,10000000000.0,0.4382608695652174,25484060071584489472
10000000000000.0,10000000000.0,0.4307692307692308,24904109228709568512
10000000000000.0,12915496650.148827,0.509090909090909,31153374355084255232
10000000000000.0,12915496650.148827,0.499009900990099,30332759088403472384
10000000000000.0,12915496650.148827,0.4893203883495146,29549220622392352768
10000000000000.0,12915496650.148827,0.48,28800411723192332288
10000000000000.0,12915496650.148827,0.47102803738317756,28084174727672446976
10000000000000.0,12915496650.148827,0.4623853211009174,27398523021268152320
10000000000000.0,12915496650.148827,0.4540540540540541,26741624647404187648
10000000000000.0,12915496650.148827,0.44601769911504424,26111787765674889216
10000000000000.0,12915496650.148827,0.4382608695652174,25507447700891242496
10000000000000.0,12915496650.148827,0.4307692307692308,24927155368659812352
10000000000000.0,16681005372.000557,0.509090909090909,31192075674061606912
10000000000000.0,16681005372.000557,0.499009900990099,30370824040909574144
10000000000000.0,16681005372.000557,0.4893203883495146,29586672402422079488
10000000000000.0,16681005372.000557,0.48,28837272244235440128
10000000000000.0,16681005372.000557,0.47102803738317756,28120464716302716928
10000000000000.0,16681005372.000557,0.4623853211009174,27434262102368792576
10000000000000.0,16681005372.000557,0.4540540540540541,26776831421840195584
10000000000000.0,16681005372.000557,0.44601769911504424,26146479881147346944
10000000000000.0,16681005372.000557,0.4382608695652174,25541641916698685440
10000000000000.0,16681005372.000557,0.4307692307692308,24960867615056883712
10000000000000.0,21544346900.318867,0.509090909090909,31249687593333837824
10000000000000.0,21544346900.318867,0.499009900990099,30427520789169565696
10000000000000.0,21544346900.318867,0.4893203883495146,29642486806255271936
10000000000000.0,21544346900.318867,0.48,28892235336339161088
10000000000000.0,21544346900.318867,0.47102803738317756,28174605865619755008
10000000000000.0,21544346900.318867,0.4623853211009174,27487609132681383936
10000000000000.0,21544346900.318867,0.4540540540540541,26829410719915372544
10000000000000.0,21544346900.318867,0.44601769911504424,26198316495428378624
10000000000000.0,21544346900.318867,0.4382608695652174,25592759647551434752
10000000000000.0,21544346900.318867,0.4307692307692308,25011289097541742592
10000000000000.0,27825594022.07126,0.509090909090909,31337256156781264896
10000000000000.0,27825594022.07126,0.499009900990099,30513742720857694208
10000000000000.0,27825594022.07126,0.4893203883495146,29727409658509864960
10000000000000.0,27825594022.07126,0.48,28975904089400684544
10000000000000.0,27825594022.07126,0.47102803738317756,28257063112806514688
10000000000000.0,27825594022.07126,0.4623853211009174,27568895249266765824
10000000000000.0,27825594022.07126,0.4540540540540541,26909564017214758912
10000000000000.0,27825594022.07126,0.44601769911504424,26277373361476714496
10000000000000.0,27825594022.07126,0.4382608695652174,25670754675801649152
10000000000000.0,27825594022.07126,0.4307692307692308,25088255204983709696
10000000000000.0,35938136638.04626,0.509090909090909,31472860809888124928
10000000000000.0,35938136638.04626,0.499009900990099,30647322586216984576
10000000000000.0,35938136638.04626,0.4893203883495146,29859035194662838272
10000000000000.0,35938136638.04626,0.48,29105641981184184320
10000000000000.0,35938136638.04626,0.47102803738317756,28384976541001637888
10000000000000.0,35938136638.04626,0.4623853211009174,27695044136712908800
10000000000000.0,35938136638.04626,0.4540540540540541,27034005253496885248
10000000000000.0,35938136638.04626,0.44601769911504424,26400161008146604032
10000000000000.0,35938136638.04626,0.4382608695652174,25791940154211139584
10000000000000.0,35938136638.04626,0.4307692307692308,25207887468789985280
10000000000000.0,46415888336.12772,0.509090909090909,31686286794687954944
10000000000000.0,46415888336.12772,0.499009900990099,30857644101440851968
10000000000000.0,46415888336.12772,0.4893203883495146,30066358858449817600
10000000000000.0,46415888336.12772,0.48,29310068752804814848
10000000000000.0,46415888336.12772,0.47102803738317756,28586602122404274176
10000000000000.0,46415888336.12772,0.4623853211009174,27893959339269750784
10000000000000.0,46415888336.12772,0.4540540540540541,27230296332999438336
10000000000000.0,46415888336.12772,0.44601769911504424,26593909970908545024
10000000000000.0,46415888336.12772,0.4382608695652174,25983225037362057216
10000000000000.0,46415888336.12772,0.4307692307692308,25396782597846167552
10000000000000.0,59948425031.89421,0.509090909090909,32026930065755095040
10000000000000.0,59948425031.89421,0.499009900990099,31193446344945741824
10000000000000.0,59948425031.89421,0.4893203883495146,30397484468914503680
10000000000000.0,59948425031.89421,0.48,29636673468872151040
10000000000000.0,59948425031.89421,0.47102803738317756,28908833637240033280
10000000000000.0,59948425031.89421,0.4623853211009174,28211957858370400256
10000000000000.0,59948425031.89421,0.4540540540540541,27544195083954421760
10000000000000.0,59948425031.89421,0.44601769911504424,26903835669391380480
10000000000000.0,59948425031.89421,0.4382608695652174,26289298314013700096
10000000000000.0,59948425031.89421,0.4307692307692308,25699118390745026560
10000000000000.0,77426368268.11278,0.509090909090909,32577384320398307328
10000000000000.0,77426368268.11278,0.499009900990099,31736245620022661120
10000000000000.0,77426368268.11278,0.4893203883495146,30932886368980017152
10000000000000.0,77426368268.11278,0.48,30164922126607577088
10000000000000.0,77426368268.11278,0.47102803738317756,29430160658424823808
10000000000000.0,77426368268.11278,0.4623853211009174,28726583185778118656
