x,y,z,E
100000000000000.0,50000000000.0,0.509090909090909,67660161755349753856
100000000000505.05,50000000000.0,0.509090909090909,67660161755462967296
100000000001010.1,50000000000.0,0.509090909090909,67660161755576188928
100000000001515.16,50000000000.0,0.509090909090909,67660161755689328640
100000000002020.2,50000000000.0,0.509090909090909,67660161755802509312
100000000002525.25,50000000000.0,0.509090909090909,67660161755915730944
100000000003030.3,50000000000.0,0.509090909090909,67660161756028928000
100000000003535.36,50000000000.0,0.509090909090909,67660161756142116864
100000000004040.4,50000000000.0,0.509090909090909,67660161756255313920
100000000004545.45,50000000000.0,0.509090909090909,67660161756368543744
100000000005050.5,50000000000.0,0.509090909090909,67660161756481748992
100000000005555.56,50000000000.0,0.509090909090909,67660161756594970624
100000000006060.61,50000000000.0,0.509090909090909,67660161756708102144
100000000006565.66,50000000000.0,0.509090909090909,67660161756821323776
100000000007070.7,50000000000.0,0.509090909090909,67660161756934627328
100000000007575.75,50000000000.0,0.509090909090909,67660161757047767040
100000000008080.81,50000000000.0,0.509090909090909,67660161757160914944
100000000008585.86,50000000000.0,0.509090909090909,67660161757274112000
100000000009090.9,50000000000.0,0.509090909090909,67660161757387399168
100000000009595.95,50000000000.0,0.509090909090909,67660161757500555264
100000000010101.02,50000000000.0,0.509090909090909,67660161757613694976
100000000010606.06,50000000000.0,0.509090909090909,67660161757726998528
100000000011111.11,50000000000.0,0.509090909090909,67660161757840187392
100000000011616.16,50000000000.0,0.509090909090909,67660161757953327104
100000000012121.22,50000000000.0,0.509090909090909,67660161758066548736
100000000012626.27,50000000000.0,0.509090909090909,67660161758179770368
100000000013131.31,50000000000.0,0.509090909090909,67660161758292983808
100000000013636.36,50000000000.0,0.509090909090909,67660161758406189056
100000000014141.42,50000000000.0,0.509090909090909,67660161758519336960
100000000014646.47,50000000000.0,0.509090909090909,67660161758632574976
100000000015151.52,50000000000.0,0.509090909090909,67660161758745780224
100000000015656.56,50000000000.0,0.509090909090909,67660161758858977280
100000000016161.61,50000000000.0,0.509090909090909,67660161758972100608
100000000016666.67,50000000000.0,0.509090909090909,67660161759085355008
100000000017171.72,50000000000.0,0.509090909090909,67660161759198642176
100000000017676.77,50000000000.0,0.509090909090909,67660161759311757312
100000000018181.81,50000000000.0,0.509090909090909,67660161759424995328
100000000018686.88,50000000000.0,0.509090909090909,67660161759538208768
100000000019191.92,50000000000.0,0.509090909090909,67660161759651422208
100000000019696.97,50000000000.0,0.509090909090909,67660161759764586496
100000000020202.02,50000000000.0,0.509090909090909,67660161759877783552
100000000020707.08,50000000000.0,0.509090909090909,67660161759990988800
100000000021212.12,50000000000.0,0.509090909090909,67660161760104185856
100000000021717.17,50000000000.0,0.509090909090909,67660161760217423872
100000000022222.22,50000000000.0,0.509090909090909,67660161760330563584
100000000022727.27,50000000000.0,0.509090909090909,67660161760443768832
100000000023232.33,50000000000.0,0.509090909090909,67660161760557056000
100000000023737.38,50000000000.0,0.509090909090909,67660161760670195712
100000000024242.42,50000000000.0,0.509090909090909,67660161760783310848
100000000024747.47,50000000000.0,0.509090909090909,67660161760896630784
100000000025252.53,50000000000.0,0.509090909090909,67660161761009778688
100000000025757.58,50000000000.0,0.509090909090909,67660161761122983936
100000000026262.62,50000000000.0,0.509090909090909,67660161761236197376
100000000026767.67,50000000000.0,0.509090909090909,67660161761349427200
100000000027272.73,50000000000.0,0.509090909090909,67660161761462566912
100000000027777.78,50000000000.0,0.509090909090909,67660161761575763968
100000000028282.83,50000000000.0,0.509090909090909,67660161761689018368
100000000028787.88,50000000000.0,0.509090909090909,67660161761802117120
100000000029292.92,50000000000.0,0.509090909090909,67660161761915404288
100000000029797.98,50000000000.0,0.509090909090909,67660161762028658688
100000000030303.03,50000000000.0,0.509090909090909,67660161762141773824
100000000030808.08,50000000000.0,0.509090909090909,67660161762254979072
100000000031313.12,50000000000.0,0.509090909090909,67660161762368208896
100000000031818.19,50000000000.0,0.509090909090909,67660161762481422336
100000000032323.23,50000000000.0,0.509090909090909,67660161762594545664
100000000032828.28,50000000000.0,0.509090909090909,67660161762707775488
100000000033333.33,50000000000.0,0.509090909090909,67660161762821029888
100000000033838.39,50000000000.0,0.509090909090909,67660161762934235136
100000000034343.44,50000000000.0,0.509090909090909,67660161763047333888
100000000034848.48,50000000000.0,0.509090909090909,67660161763160580096
100000000035353.53,50000000000.0,0.509090909090909,67660161763273752576
100000000035858.58,50000000000.0,0.509090909090909,67660161763387072512
100000000036363.64,50000000000.0,0.509090909090909,67660161763500171264
100000000036868.69,50000000000.0,0.509090909090909,67660161763613335552
100000000037373.73,50000000000.0,0.509090909090909,67660161763726639104
100000000037878.78,50000000000.0,0.509090909090909,67660161763839844352
100000000038383.84,50000000000.0,0.509090909090909,67660161763952934912
100000000038888.89,50000000000.0,0.509090909090909,67660161764066213888
100000000039393.94,50000000000.0,0.509090909090909,67660161764179419136
100000000039898.98,50000000000.0,0.509090909090909,67660161764292657152
100000000040404.05,50000000000.0,0.509090909090909,67660161764405788672
100000000040909.1,50000000000.0,0.509090909090909,67660161764519026688
100000000041414.14,50000000000.0,0.509090909090909,67660161764632256512
100000000041919.19,50000000000.0,0.509090909090909,67660161764745420800
100000000042424.25,50000000000.0,0.509090909090909,67660161764858609664
100000000042929.3,50000000000.0,0.509090909090909,67660161764971823104
100000000043434.34,50000000000.0,0.509090909090909,67660161765085003776
100000000043939.39,50000000000.0,0.509090909090909,67660161765198323712
100000000044444.44,50000000000.0,0.509090909090909,67660161765311381504
100000000044949.5,50000000000.0,0.509090909090909,67660161765424603136
100000000045454.55,50000000000.0,0.509090909090909,67660161765537824768
100000000045959.6,50000000000.0,0.509090909090909,67660161765651054592
100000000046464.64,50000000000.0,0.509090909090909,67660161765764251648
100000000046969.7,50000000000.0,0.509090909090909,67660161765877465088
100000000047474.75,50000000000.0,0.509090909090909,67660161765990604800
100000000047979.8,50000000000.0,0.509090909090909,67660161766103810048
100000000048484.84,50000000000.0,0.509090909090909,67660161766217064448
100000000048989.9,50000000000.0,0.509090909090909,67660161766330245120
100000000049494.95,50000000000.0,0.509090909090909,67660161766443376640
100000000050000.0,50000000000.0,0.509090909090909,67660161766556688384
