D,T,Y,S
100000000000.0,1000000000.0,0.509090909090909,10407364.0
100000000000.0,1001232509.6394137,0.509090909090909,10416201.0
100000000000.0,1002465019.2788275,0.509090909090909,10425030.0
100000000000.0,1003697528.9182413,0.509090909090909,10433848.0
100000000000.0,1004930038.557655,0.509090909090909,10442658.0
100000000000.0,1006162548.1970687,0.509090909090909,10451457.0
100000000000.0,1007395057.8364825,0.509090909090909,10460248.0
100000000000.0,1008627567.4758962,0.509090909090909,10469029.0
100000000000.0,1009860077.11531,0.509090909090909,10477800.0
100000000000.0,1011092586.7547237,0.509090909090909,10486562.0
100000000000.0,1012325096.3941375,0.509090909090909,10495315.0
100000000000.0,1013557606.0335512,0.509090909090909,10504058.0
100000000000.0,1014790115.6729649,0.509090909090909,10512792.0
100000000000.0,1016022625.3123786,0.509090909090909,10521517.0
100000000000.0,1017255134.9517925,0.509090909090909,10530232.0
100000000000.0,1018487644.5912062,0.509090909090909,10538939.0
100000000000.0,1019720154.2306199,0.509090909090909,10547636.0
100000000000.0,1020952663.8700336,0.509090909090909,10556323.0
100000000000.0,1022185173.5094475,0.509090909090909,10565002.0
100000000000.0,1023417683.1488612,0.509090909090909,10573672.0
100000000000.0,1024650192.7882749,0.509090909090909,10582332.0
100000000000.0,1025882702.4276886,0.509090909090909,10590983.0
100000000000.0,1027115212.0671024,0.509090909090909,10599626.0
100000000000.0,1028347721.7065161,0.509090909090909,10608259.0
100000000000.0,1029580231.3459299,0.509090909090909,10616883.0
100000000000.0,1030812740.9853436,0.509090909090909,10625498.0
100000000000.0,1032045250.6247574,0.509090909090909,10634104.0
100000000000.0,1033277760.2641711,0.509090909090909,10642702.0
100000000000.0,1034510269.9035848,0.509090909090909,10651290.0
100000000000.0,1035742779.5429986,0.509090909090909,10659869.0
100000000000.0,1036975289.1824124,0.509090909090909,10668440.0
100000000000.0,1038207798.8218261,0.509090909090909,10677002.0
100000000000.0,1039440308.4612398,0.509090909090909,10685554.0
100000000000.0,1040672818.1006535,0.509090909090909,10694098.0
100000000000.0,1041905327.7400674,0.509090909090909,10702634.0
100000000000.0,1043137837.3794811,0.509090909090909,10711160.0
100000000000.0,1044370347.0188948,0.509090909090909,10719678.0
100000000000.0,1045602856.6583085,0.509090909090909,10728187.0
100000000000.0,1046835366.2977223,0.509090909090909,10736687.0
100000000000.0,1048067875.937136,0.509090909090909,10745179.0
100000000000.0,1049300385.5765498,0.509090909090909,10753662.0
100000000000.0,1050532895.2159635,0.509090909090909,10762136.0
100000000000.0,1051765404.8553773,0.509090909090909,10770602.0
100000000000.0,1052997914.494791,0.509090909090909,10779059.0
100000000000.0,1054230424.1342047,0.509090909090909,10787508.0
100000000000.0,1055462933.7736185,0.509090909090909,10795948.0
100000000000.0,1056695443.4130323,0.509090909090909,10804380.0
100000000000.0,1057927953.052446,0.509090909090909,10812803.0
100000000000.0,1059160462.6918597,0.509090909090909,10821217.0
100000000000.0,1060392972.3312734,0.509090909090909,10829624.0
100000000000.0,1061625481.9706873,0.509090909090909,10838021.0
100000000000.0,1062857991.610101,0.509090909090909,10846411.0
100000000000.0,1064090501.2495147,0.509090909090909,10854791.0
100000000000.0,1065323010.8889284,0.509090909090909,10863164.0
100000000000.0,1066555520.5283422,0.509090909090909,10871528.0
100000000000.0,1067788030.167756,0.509090909090909,10879884.0
100000000000.0,1069020539.8071697,0.509090909090909,10888232.0
100000000000.0,1070253049.4465834,0.509090909090909,10896571.0
100000000000.0,1071485559.0859972,0.509090909090909,10904902.0
100000000000.0,1072718068.7254109,0.509090909090909,10913225.0
100000000000.0,1073950578.3648248,0.509090909090909,10921539.0
100000000000.0,1075183088.0042384,0.509090909090909,10929846.0
100000000000.0,1076415597.6436522,0.509090909090909,10938144.0
100000000000.0,1077648107.2830658,0.509090909090909,10946434.0
100000000000.0,1078880616.9224796,0.509090909090909,10954716.0
100000000000.0,1080113126.5618935,0.509090909090909,10962990.0
100000000000.0,1081345636.201307,0.509090909090909,10971256.0
100000000000.0,1082578145.840721,0.509090909090909,10979513.0
100000000000.0,1083810655.4801347,0.509090909090909,10987763.0
100000000000.0,1085043165.1195483,0.509090909090909,10996004.0
100000000000.0,1086275674.7589622,0.509090909090909,11004238.0
100000000000.0,1087508184.3983757,0.509090909090909,11012463.0
100000000000.0,1088740694.0377896,0.509090909090909,11020681.0
100000000000.0,1089973203.6772034,0.509090909090909,11028891.0
100000000000.0,1091205713.316617,0.509090909090909,11037092.0
100000000000.0,1092438222.9560308,0.509090909090909,11045286.0
100000000000.0,1093670732.5954447,0.509090909090909,11053472.0
100000000000.0,1094903242.2348583,0.509090909090909,11061650.0
100000000000.0,1096135751.874272,0.509090909090909,11069820.0
100000000000.0,1097368261.5136857,0.509090909090909,11077982.0
100000000000.0,1098600771.1530995,0.509090909090909,11086137.0
100000000000.0,1099833280.7925134,0.509090909090909,11094284.0
100000000000.0,1101065790.431927,0.509090909090909,11102422.0
100000000000.0,1102298300.0713408,0.509090909090909,11110554.0
100000000000.0,1103530809.7107546,0.509090909090909,11118677.0
100000000000.0,1104763319.3501682,0.509090909090909,11126793.0
100000000000.0,1105995828.989582,0.509090909090909,11134901.0
100000000000.0,1107228338.6289957,0.509090909090909,11143001.0
100000000000.0,1108460848.2684095,0.509090909090909,11151094.0
100000000000.0,1109693357.9078233,0.509090909090909,11159179.0
100000000000.0,1110925867.547237,0.509090909090909,11167256.0
100000000000.0,1112158377.1866508,0.509090909090909,11175326.0
100000000000.0,1113390886.8260646,0.509090909090909,11183388.0
