D,T,Y,E
10000000000000.0,10000000000.0,0.509090909090909,31126785101525467136
10000000000000.0,10000005050.50505,0.509090909090909,31126785145145298944
10000000000000.0,10000010101.010101,0.509090909090909,31126785188766744576
10000000000000.0,10000015151.515152,0.509090909090909,31126785232387055616
10000000000000.0,10000020202.020203,0.509090909090909,31126785276007174144
10000000000000.0,10000025252.525253,0.509090909090909,31126785319627976704
10000000000000.0,10000030303.030304,0.509090909090909,31126785363247697920
10000000000000.0,10000035353.535353,0.509090909090909,31126785406868127744
10000000000000.0,10000040404.040403,0.509090909090909,31126785450488365056
10000000000000.0,10000045454.545454,0.509090909090909,31126785494109253632
10000000000000.0,10000050505.050505,0.509090909090909,31126785537729970176
10000000000000.0,10000055555.555555,0.509090909090909,31126785581349466112
10000000000000.0,10000060606.060606,0.509090909090909,31126785624970739712
10000000000000.0,10000065656.565657,0.509090909090909,31126785668591734784
10000000000000.0,10000070707.070707,0.509090909090909,31126785712211542016
10000000000000.0,10000075757.575758,0.509090909090909,31126785755833081856
10000000000000.0,10000080808.080809,0.509090909090909,31126785799452557312
10000000000000.0,10000085858.58586,0.509090909090909,31126785843072712704
10000000000000.0,10000090909.09091,0.509090909090909,31126785886693548032
10000000000000.0,10000095959.595959,0.509090909090909,31126785930314219520
10000000000000.0,10000101010.10101,0.509090909090909,31126785973934678016
10000000000000.0,10000106060.60606,0.509090909090909,31126786017554866176
10000000000000.0,10000111111.11111,0.509090909090909,31126786061176807424
10000000000000.0,10000116161.616161,0.509090909090909,31126786104796618752
10000000000000.0,10000121212.121212,0.509090909090909,31126786148417105920
10000000000000.0,10000126262.626263,0.509090909090909,31126786192038404096
10000000000000.0,10000131313.131313,0.509090909090909,31126786235658543104
10000000000000.0,10000136363.636364,0.509090909090909,31126786279278379008
10000000000000.0,10000141414.141415,0.509090909090909,31126786322899030016
10000000000000.0,10000146464.646465,0.509090909090909,31126786366520373248
10000000000000.0,10000151515.151516,0.509090909090909,31126786410140565504
10000000000000.0,10000156565.656565,0.509090909090909,31126786453761458176
10000000000000.0,10000161616.161615,0.509090909090909,31126786497382154240
10000000000000.0,10000166666.666666,0.509090909090909,31126786541002629120
10000000000000.0,10000171717.171717,0.509090909090909,31126786584622923776
10000000000000.0,10000176767.676767,0.509090909090909,31126786628244840448
10000000000000.0,10000181818.181818,0.509090909090909,31126786671864741888
10000000000000.0,10000186868.686869,0.509090909090909,31126786715485319168
10000000000000.0,10000191919.19192,0.509090909090909,31126786759105638400
10000000000000.0,10000196969.69697,0.509090909090909,31126786802726719488
10000000000000.0,10000202020.20202,0.509090909090909,31126786846347608064
10000000000000.0,10000207070.707071,0.509090909090909,31126786889968291840
10000000000000.0,10000212121.212122,0.509090909090909,31126786933589667840
10000000000000.0,10000217171.717173,0.509090909090909,31126786977209905152
10000000000000.0,10000222222.222221,0.509090909090909,31126787020830830592
10000000000000.0,10000227272.727272,0.509090909090909,31126787064451538944
10000000000000.0,10000232323.232323,0.509090909090909,31126787108072124416
10000000000000.0,10000237373.737373,0.509090909090909,31126787151692402688
10000000000000.0,10000242424.242424,0.509090909090909,31126787195313479680
10000000000000.0,10000247474.747475,0.509090909090909,31126787238934290432
10000000000000.0,10000252525.252525,0.509090909090909,31126787282554855424
10000000000000.0,10000257575.757576,0.509090909090909,31126787326175334400
10000000000000.0,10000262626.262627,0.509090909090909,31126787369797402624
10000000000000.0,10000267676.767677,0.509090909090909,31126787413417377792
10000000000000.0,10000272727.272728,0.509090909090909,31126787457038028800
10000000000000.0,10000277777.777779,0.509090909090909,31126787500659441664
10000000000000.0,10000282828.282827,0.509090909090909,31126787544280666112
10000000000000.0,10000287878.787878,0.509090909090909,31126787587900678144
10000000000000.0,10000292929.292929,0.509090909090909,31126787631521497088
10000000000000.0,10000297979.79798,0.509090909090909,31126787675143012352
10000000000000.0,10000303030.30303,0.509090909090909,31126787718763323392
10000000000000.0,10000308080.80808,0.509090909090909,31126787762384470016
10000000000000.0,10000313131.313131,0.509090909090909,31126787806005342208
10000000000000.0,10000318181.818182,0.509090909090909,31126787849625935872
10000000000000.0,10000323232.323233,0.509090909090909,31126787893247352832
10000000000000.0,10000328282.828283,0.509090909090909,31126787936868495360
10000000000000.0,10000333333.333334,0.509090909090909,31126787980489453568
10000000000000.0,10000338383.838385,0.509090909090909,31126788024110149632
10000000000000.0,10000343434.343435,0.509090909090909,31126788067731587072
10000000000000.0,10000348484.848484,0.509090909090909,31126788111351914496
10000000000000.0,10000353535.353535,0.509090909090909,31126788154972966912
10000000000000.0,10000358585.858585,0.509090909090909,31126788198593818624
10000000000000.0,10000363636.363636,0.509090909090909,31126788242215350272
10000000000000.0,10000368686.868687,0.509090909090909,31126788285835763712
10000000000000.0,10000373737.373737,0.509090909090909,31126788329456857088
10000000000000.0,10000378787.878788,0.509090909090909,31126788373077757952
10000000000000.0,10000383838.383839,0.509090909090909,31126788416698445824
10000000000000.0,10000388888.88889,0.509090909090909,31126788460319821824
10000000000000.0,10000393939.39394,0.509090909090909,31126788503941021696
10000000000000.0,10000398989.89899,0.509090909090909,31126788547562012672
10000000000000.0,10000404040.404041,0.509090909090909,31126788591182811136
10000000000000.0,10000409090.90909,0.509090909090909,31126788634803408896
10000000000000.0,10000414141.41414,0.509090909090909,31126788678425645056
10000000000000.0,10000419191.919191,0.509090909090909,31126788722045730816
10000000000000.0,10000424242.424242,0.509090909090909,31126788765666635776
10000000000000.0,10000429292.929293,0.509090909090909,31126788809288212480
10000000000000.0,10000434343.434343,0.509090909090909,31126788852909535232
10000000000000.0,10000439393.939394,0.509090909090909,31126788896530718720
10000000000000.0,10000444444.444445,0.509090909090909,31126788940151644160
10000000000000.0,10000449494.949495,0.509090909090909,31126788983772389376
10000000000000.0,10000454545.454546,0.509090909090909,31126789027393810432
10000000000000.0,10000459595.959597,0.509090909090909,31126789071015051264
10000000000000.0,10000464646.464647,0.509090909090909,31126789114636128256
10000000000000.0,10000469696.969696,0.509090909090909,31126789158256963584
10000000000000.0,10000474747.474747,0.509090909090909,31126789201878487040
10000000000000.0,10000479797.979797,0.509090909090909,31126789245499809792
10000000000000.0,10000484848.484848,0.509090909090909,31126789289120878592
10000000000000.0,10000489898.989899,0.509090909090909,31126789332741804032
10000000000000.0,10000494949.49495,0.509090909090909,31126789376363421696
10000000000000.0,10000500000.0,0.509090909090909,31126789419984781312
