D,T,Y,S
100000000000.0,1000000000.0,0.509090909090909,224936635226931806930351423488
100000000000.0,1001232509.6394137,0.509090909090909,224937023220041651458372796416
100000000000.0,1002465019.2788275,0.509090909090909,224937411256771462021011996672
100000000000.0,1003697528.9182413,0.509090909090909,224937799337202584886538403840
100000000000.0,1004930038.557655,0.509090909090909,224938187461415486713919176704
100000000000.0,1006162548.1970687,0.509090909090909,224938575629489754552819253248
100000000000.0,1007395057.8364825,0.509090909090909,224938963841505573587229081600
100000000000.0,1008627567.4758962,0.509090909090909,224939352097543410476115820544
100000000000.0,1009860077.11531,0.509090909090909,224939740397682078212958453760
100000000000.0,1011092586.7547237,0.509090909090909,224940128742000882372445208576
100000000000.0,1012325096.3941375,0.509090909090909,224940517130578741501171335168
100000000000.0,1013557606.0335512,0.509090909090909,224940905563494961173825060864
100000000000.0,1014790115.6729649,0.509090909090909,224941294040827721065187770368
100000000000.0,1016022625.3123786,0.509090909090909,224941682562656186012459335680
100000000000.0,1017255134.9517925,0.509090909090909,224942071129057480159258476544
100000000000.0,1018487644.5912062,0.509090909090909,224942459740110979449017597952
100000000000.0,1019720154.2306199,0.509090909090909,224942848395893174706657820672
100000000000.0,1020952663.8700336,0.509090909090909,224943237096482632635053506560
100000000000.0,1022185173.5094475,0.509090909090909,224943625841956371824707108864
100000000000.0,1023417683.1488612,0.509090909090909,224944014632390918284911837184
100000000000.0,1024650192.7882749,0.509090909090909,224944403467864029477984010240
100000000000.0,1025882702.4276886,0.509090909090909,224944792348451985122612215808
100000000000.0,1027115212.0671024,0.509090909090909,224945181274231698256182640640
100000000000.0,1028347721.7065161,0.509090909090909,224945570245279272675523428352
100000000000.0,1029580231.3459299,0.509090909090909,224945959261671128836811522048
100000000000.0,1030812740.9853436,0.509090909090909,224946348323482596480689111040
100000000000.0,1032045250.6247574,0.509090909090909,224946737430789920141472694272
100000000000.0,1033277760.2641711,0.509090909090909,224947126583668112900455661568
100000000000.0,1034510269.9035848,0.509090909090909,224947515782192785973256912896
100000000000.0,1035742779.5429986,0.509090909090909,224947905026439128363030282240
100000000000.0,1036975289.1824124,0.509090909090909,224948294316481695754232004608
100000000000.0,1038207798.8218261,0.509090909090909,224948683652395501228155469824
100000000000.0,1039440308.4612398,0.509090909090909,224949073034254537519303491584
100000000000.0,1040672818.1006535,0.509090909090909,224949462462133993630829903872
100000000000.0,1041905327.7400674,0.509090909090909,224949851936107088241051566080
100000000000.0,1043137837.3794811,0.509090909090909,224950241456247919637587558400
100000000000.0,1044370347.0188948,0.509090909090909,224950631022630480554940694528
100000000000.0,1045602856.6583085,0.509090909090909,224951020635328200777660366848
100000000000.0,1046835366.2977223,0.509090909090909,224951410294414158246575079424
100000000000.0,1048067875.937136,0.509090909090909,224951799999961958668094668800
100000000000.0,1049300385.5765498,0.509090909090909,224952189752043659636257062912
100000000000.0,1050532895.2159635,0.509090909090909,224952579550732409460634943488
100000000000.0,1051765404.8553773,0.509090909090909,224952969396101391635173081088
100000000000.0,1052997914.494791,0.509090909090909,224953359288222241541444337664
100000000000.0,1054230424.1342047,0.509090909090909,224953749227167122326602907648
100000000000.0,1055462933.7736185,0.509090909090909,224954139213008126769058807808
100000000000.0,1056695443.4130323,0.509090909090909,224954529245817277278477877248
100000000000.0,1057927953.052446,0.509090909090909,224954919325665470364619112448
100000000000.0,1059160462.6918597,0.509090909090909,224955309452624939543380885504
100000000000.0,1060392972.3312734,0.509090909090909,224955699626766053558940860416
100000000000.0,1061625481.9706873,0.509090909090909,224956089848160658899104432128
100000000000.0,1062857991.610101,0.509090909090909,224956480116879018754932998144
100000000000.0,1064090501.2495147,0.509090909090909,224956870432992275926790176768
100000000000.0,1065323010.8889284,0.509090909090909,224957260796569919549551411200
100000000000.0,1066555520.5283422,0.509090909090909,224957651207683303529812852736
100000000000.0,1067788030.167756,0.509090909090909,224958041666401952186822033408
100000000000.0,1069020539.8071697,0.509090909090909,224958432172795952789779906560
100000000000.0,1070253049.4465834,0.509090909090909,224958822726935146317282803712
100000000000.0,1071485559.0859972,0.509090909090909,224959213328888529322996924416
100000000000.0,1072718068.7254109,0.509090909090909,224959603978726400182355755008
100000000000.0,1073950578.3648248,0.509090909090909,224959994676517016577211629568
100000000000.0,1075183088.0042384,0.509090909090909,224960385422330184301788790784
100000000000.0,1076415597.6436522,0.509090909090909,224960776216234583250404638720
100000000000.0,1077648107.2830658,0.509090909090909,224961167058298119261190619136
100000000000.0,1078880616.9224796,0.509090909090909,224961557948589929625301286912
100000000000.0,1080113126.5618935,0.509090909090909,224961948887178447946449420288
100000000000.0,1081345636.201307,0.509090909090909,224962339874130770822208421888
100000000000.0,1082578145.840721,0.509090909090909,224962730909516528124942090240
100000000000.0,1083810655.4801347,0.509090909090909,224963121993401760921061163008
100000000000.0,1085043165.1195483,0.509090909090909,224963513125855676870464372736
100000000000.0,1086275674.7589622,0.509090909090909,224963904306944352223934545920
100000000000.0,1087508184.3983757,0.509090909090909,224964295536735622450858950656
100000000000.0,1088740694.0377896,0.509090909090909,224964686815296865623787700224
100000000000.0,1089973203.6772034,0.509090909090909,224965078142694720943457042432
100000000000.0,1091205713.316617,0.509090909090909,224965469518995546135626514432
100000000000.0,1092438222.9560308,0.509090909090909,224965860944266437797869518848
100000000000.0,1093670732.5954447,0.509090909090909,224966252418573331443480526848
100000000000.0,1094903242.2348583,0.509090909090909,224966643941982971826312052736
100000000000.0,1096135751.874272,0.509090909090909,224967035514561294459658567680
100000000000.0,1097368261.5136857,0.509090909090909,224967427136374023750582009856
100000000000.0,1098600771.1530995,0.509090909090909,224967818807487341502981472256
100000000000.0,1099833280.7925134,0.509090909090909,224968210527965529564663250944
100000000000.0,1101065790.431927,0.509090909090909,224968602297875508611340304384
100000000000.0,1102298300.0713408,0.509090909090909,224968994117281806781423550464
100000000000.0,1103530809.7107546,0.509090909090909,224969385986249550347649417216
100000000000.0,1104763319.3501682,0.509090909090909,224969777904843830398382243840
100000000000.0,1105995828.989582,0.509090909090909,224970169873128999150172504064
100000000000.0,1107228338.6289957,0.509090909090909,224970561891170112507012448256
100000000000.0,1108460848.2684095,0.509090909090909,224970953959031381947964194816
100000000000.0,1109693357.9078233,0.509090909090909,224971346076776244895903907840
100000000000.0,1110925867.547237,0.509090909090909,224971738244470742417242324992
100000000000.0,1112158377.1866508,0.509090909090909,224972130462176799006855790592
100000000000.0,1113390886.8260646,0.509090909090909,224972522729959435384364466176
100000000000.0,1114623396.4654782,0.509090909090909,224972915047881701944551538688
100000000000.0,1115855906.104892,0.509090909090909,224973307416007599060246593536
100000000000.0,1117088415.7443056,0.509090909090909,224973699834399367885674774528
100000000000.0,1118320925.3837194,0.509090909090909,224974092303121360637386555392
100000000000.0,1119553435.0231333,0.509090909090909,224974484822235783285234991104
100000000000.0,1120785944.6625469,0.509090909090909,224974877391805826961491623936
100000000000.0,1122018454.3019607,0.509090909090909,224975270011893943926614130688
