D,T,Y,E
10000000000.0,10000000000.0,0.509090909090909,3.1328321451857464e+18
10000000000.0,10000005050.50505,0.509090909090909,3.132832371258667e+18
10000000000.0,10000010101.010101,0.509090909090909,3.1328325973318456e+18
10000000000.0,10000015151.515152,0.509090909090909,3.1328328234050284e+18
10000000000.0,10000020202.020203,0.509090909090909,3.1328330494783053e+18
10000000000.0,10000025252.525253,0.509090909090909,3.132833275551757e+18
10000000000.0,10000030303.030304,0.509090909090909,3.132833501625219e+18
10000000000.0,10000035353.535353,0.509090909090909,3.1328337276988554e+18
10000000000.0,10000040404.040403,0.509090909090909,3.1328339537725814e+18
10000000000.0,10000045454.545454,0.509090909090909,3.1328341798464814e+18
10000000000.0,10000050505.050505,0.509090909090909,3.1328344059204705e+18
10000000000.0,10000055555.555555,0.509090909090909,3.132834631994468e+18
10000000000.0,10000060606.060606,0.509090909090909,3.1328348580687273e+18
10000000000.0,10000065656.565657,0.509090909090909,3.132835084143071e+18
10000000000.0,10000070707.070707,0.509090909090909,3.132835310217425e+18
10000000000.0,10000075757.575758,0.509090909090909,3.1328355362920387e+18
10000000000.0,10000080808.080809,0.509090909090909,3.1328357623665833e+18
10000000000.0,10000085858.58586,0.509090909090909,3.132835988441296e+18
10000000000.0,10000090909.09091,0.509090909090909,3.1328362145161815e+18
10000000000.0,10000095959.595959,0.509090909090909,3.1328364405911613e+18
10000000000.0,10000101010.10101,0.509090909090909,3.1328366666662303e+18
10000000000.0,10000106060.60606,0.509090909090909,3.1328368927413883e+18
10000000000.0,10000111111.11111,0.509090909090909,3.132837118816808e+18
10000000000.0,10000116161.616161,0.509090909090909,3.1328373448921523e+18
10000000000.0,10000121212.121212,0.509090909090909,3.132837570967666e+18
10000000000.0,10000126262.626263,0.509090909090909,3.132837797043362e+18
10000000000.0,10000131313.131313,0.509090909090909,3.132838023119066e+18
10000000000.0,10000136363.636364,0.509090909090909,3.132838249194855e+18
10000000000.0,10000141414.141415,0.509090909090909,3.132838475270824e+18
10000000000.0,10000146464.646465,0.509090909090909,3.132838701346962e+18
10000000000.0,10000151515.151516,0.509090909090909,3.1328389274231117e+18
10000000000.0,10000156565.656565,0.509090909090909,3.1328391534994294e+18
10000000000.0,10000161616.161615,0.509090909090909,3.1328393795758454e+18
10000000000.0,10000166666.666666,0.509090909090909,3.13283960565235e+18
10000000000.0,10000171717.171717,0.509090909090909,3.13283983172895e+18
10000000000.0,10000176767.676767,0.509090909090909,3.132840057805799e+18
10000000000.0,10000181818.181818,0.509090909090909,3.1328402838825856e+18
10000000000.0,10000186868.686869,0.509090909090909,3.132840509959539e+18
10000000000.0,10000191919.19192,0.509090909090909,3.132840736036584e+18
10000000000.0,10000196969.69697,0.509090909090909,3.1328409621138007e+18
10000000000.0,10000202020.20202,0.509090909090909,3.132841188191108e+18
10000000000.0,10000207070.707071,0.509090909090909,3.132841414268515e+18
10000000000.0,10000212121.212122,0.509090909090909,3.1328416403460895e+18
10000000000.0,10000217171.717173,0.509090909090909,3.1328418664236744e+18
10000000000.0,10000222222.222221,0.509090909090909,3.1328420925014303e+18
10000000000.0,10000227272.727272,0.509090909090909,3.132842318579279e+18
10000000000.0,10000232323.232323,0.509090909090909,3.132842544657225e+18
10000000000.0,10000237373.737373,0.509090909090909,3.1328427707352545e+18
10000000000.0,10000242424.242424,0.509090909090909,3.1328429968134656e+18
10000000000.0,10000247474.747475,0.509090909090909,3.132843222891765e+18
10000000000.0,10000252525.252525,0.509090909090909,3.1328434489701463e+18
10000000000.0,10000257575.757576,0.509090909090909,3.132843675048639e+18
10000000000.0,10000262626.262627,0.509090909090909,3.1328439011273723e+18
10000000000.0,10000267676.767677,0.509090909090909,3.1328441272060355e+18
10000000000.0,10000272727.272728,0.509090909090909,3.132844353284872e+18
10000000000.0,10000277777.777779,0.509090909090909,3.132844579363881e+18
10000000000.0,10000282828.282827,0.509090909090909,3.132844805442985e+18
10000000000.0,10000287878.787878,0.509090909090909,3.1328450315220946e+18
10000000000.0,10000292929.292929,0.509090909090909,3.1328452576013834e+18
10000000000.0,10000297979.79798,0.509090909090909,3.1328454836808433e+18
10000000000.0,10000303030.30303,0.509090909090909,3.132845709760307e+18
10000000000.0,10000308080.80808,0.509090909090909,3.1328459358399585e+18
10000000000.0,10000313131.313131,0.509090909090909,3.132846161919692e+18
10000000000.0,10000318181.818182,0.509090909090909,3.132846387999513e+18
10000000000.0,10000323232.323233,0.509090909090909,3.1328466140795146e+18
10000000000.0,10000328282.828283,0.509090909090909,3.132846840159603e+18
10000000000.0,10000333333.333334,0.509090909090909,3.1328470662397865e+18
10000000000.0,10000338383.838385,0.509090909090909,3.1328472923200553e+18
10000000000.0,10000343434.343435,0.509090909090909,3.132847518400502e+18
10000000000.0,10000348484.848484,0.509090909090909,3.1328477444809595e+18
10000000000.0,10000353535.353535,0.509090909090909,3.132847970561589e+18
10000000000.0,10000358585.858585,0.509090909090909,3.1328481966423163e+18
10000000000.0,10000363636.363636,0.509090909090909,3.132848422723212e+18
10000000000.0,10000368686.868687,0.509090909090909,3.132848648804117e+18
