D,T,Y,E
3162277660.1683793,1000000000.0,0.509090909090909,2.140860250640721e+16
3231345562.590921,1000000000.0,0.509090909090909,5.369022116381082e+16
3300413465.0134625,1000000000.0,0.509090909090909,9.371224180839811e+16
3369481367.436004,1000000000.0,0.509090909090909,1.3979092856425755e+17
3438549269.858546,1000000000.0,0.509090909090909,1.910229166927989e+17
3507617172.2810874,1000000000.0,0.509090909090909,2.4683059895912118e+17
3576685074.703629,1000000000.0,0.509090909090909,3.0680843496291405e+17
3645752977.1261706,1000000000.0,0.509090909090909,3.706527411339523e+17
3714820879.5487123,1000000000.0,0.509090909090909,4.381258653432054e+17
3783888781.971254,1000000000.0,0.509090909090909,5.0903561314870925e+17
3852956684.3937955,1000000000.0,0.509090909090909,5.832225308342047e+17
3922024586.816337,1000000000.0,0.509090909090909,6.605515908023556e+17
3991092489.238879,1000000000.0,0.509090909090909,7.409065128762353e+17
4060160391.661421,1000000000.0,0.509090909090909,8.241857463827318e+17
4129228294.0839624,1000000000.0,0.509090909090909,9.102995418306388e+17
4198296196.506504,1000000000.0,0.509090909090909,9.991677657891446e+17
4267364098.9290457,1000000000.0,0.509090909090909,1.0907182371789673e+18
4336432001.351587,1000000000.0,0.509090909090909,1.1848854322945403e+18
4405499903.774129,1000000000.0,0.509090909090909,1.2816094595550218e+18
4474567806.196671,1000000000.0,0.509090909090909,1.380835254438206e+18
4543635708.619212,1000000000.0,0.509090909090909,1.4825119066690478e+18
4612703611.041754,1000000000.0,0.509090909090909,1.5865921263351014e+18
4681771513.464295,1000000000.0,0.509090909090909,1.6930317955630433e+18
4750839415.886837,1000000000.0,0.509090909090909,1.8017895887336945e+18
4819907318.309379,1000000000.0,0.509090909090909,1.9128266679521923e+18
4888975220.73192,1000000000.0,0.509090909090909,2.0261064042975468e+18
4958043123.154462,1000000000.0,0.509090909090909,2.1415941600753623e+18
5027111025.5770035,1000000000.0,0.509090909090909,2.259257087259951e+18
5096178927.999545,1000000000.0,0.509090909090909,2.379063954983152e+18
5165246830.422087,1000000000.0,0.509090909090909,2.500985015832257e+18
5234314732.844628,1000000000.0,0.509090909090909,2.6249918523225697e+18
5303382635.26717,1000000000.0,0.509090909090909,2.751057294090041e+18
5372450537.689712,1000000000.0,0.509090909090909,2.8791552898218655e+18
5441518440.112253,1000000000.0,0.509090909090909,3.009260833137482e+18
5510586342.534795,1000000000.0,0.509090909090909,3.141349891057598e+18
5579654244.957336,1000000000.0,0.509090909090909,3.2753993068004634e+18
5648722147.379878,1000000000.0,0.509090909090909,3.411386765507969e+18
5717790049.80242,1000000000.0,0.509090909090909,3.5492907273519104e+18
5786857952.224961,1000000000.0,0.509090909090909,3.689090359812754e+18
5855925854.647503,1000000000.0,0.509090909090909,3.8307655187190497e+18
5924993757.0700445,1000000000.0,0.509090909090909,3.9742966942688927e+18
5994061659.492586,1000000000.0,0.509090909090909,4.1196649565726464e+18
6063129561.915128,1000000000.0,0.509090909090909,4.2668519467066885e+18
6132197464.337669,1000000000.0,0.509090909090909,4.4158398393172285e+18
6201265366.760211,1000000000.0,0.509090909090909,4.5666112906361846e+18
6270333269.182753,1000000000.0,0.509090909090909,4.719149434293303e+18
6339401171.605294,1000000000.0,0.509090909090909,4.873437860914343e+18
6408469074.027836,1000000000.0,0.509090909090909,5.029460574155122e+18
6477536976.450378,1000000000.0,0.509090909090909,5.187201973744697e+18
6546604878.872919,1000000000.0,0.509090909090909,5.346646852053248e+18
6615672781.295462,1000000000.0,0.509090909090909,5.507780371062062e+18
6684740683.718002,1000000000.0,0.509090909090909,5.67058802432268e+18
6753808586.140545,1000000000.0,0.509090909090909,5.835055639400263e+18
6822876488.563086,1000000000.0,0.509090909090909,6.001169368877146e+18
6891944390.985628,1000000000.0,0.509090909090909,6.168915670910166e+18
6961012293.408169,1000000000.0,0.509090909090909,6.338281278306359e+18
7030080195.830711,1000000000.0,0.509090909090909,6.509253205720479e+18
7099148098.253252,1000000000.0,0.509090909090909,6.681818741149168e+18
7168216000.675795,1000000000.0,0.509090909090909,6.855965432897253e+18
7237283903.098335,1000000000.0,0.509090909090909,7.031681061009904e+18
7306351805.520878,1000000000.0,0.509090909090909,7.208953641734255e+18
7375419707.9434185,1000000000.0,0.509090909090909,7.38777142532246e+18
7444487610.365961,1000000000.0,0.509090909090909,7.5681228882383e+18
7513555512.788502,1000000000.0,0.509090909090909,7.749996709903238e+18
7582623415.211044,1000000000.0,0.509090909090909,7.933381763694649e+18
7651691317.633585,1000000000.0,0.509090909090909,8.11826712703639e+18
7720759220.056128,1000000000.0,0.509090909090909,8.304642071391671e+18
7789827122.478668,1000000000.0,0.509090909090909,8.492496055606146e+18
7858895024.901211,1000000000.0,0.509090909090909,8.681818704092323e+18
7927962927.323751,1000000000.0,0.509090909090909,8.872599808493514e+18
7997030829.746294,1000000000.0,0.509090909090909,9.064829333607422e+18
8066098732.168835,1000000000.0,0.509090909090909,9.2584974090557e+18
8135166634.591377,1000000000.0,0.509090909090909,9.453594322917669e+18
8204234537.013918,1000000000.0,0.509090909090909,9.650110503359492e+18
8273302439.4364605,1000000000.0,0.509090909090909,9.848036520316568e+18
8342370341.859001,1000000000.0,0.509090909090909,1.0047363093247105e+19
8411438244.281544,1000000000.0,0.509090909090909,1.0248081081624064e+19
8480506146.704084,1000000000.0,0.509090909090909,1.0450181484276003e+19
8549574049.126627,1000000000.0,0.509090909090909,1.0653655422236662e+19
8618641951.549168,1000000000.0,0.509090909090909,1.085849413447718e+19
8687709853.97171,1000000000.0,0.509090909090909,1.106468898871792e+19
8756777756.39425,1000000000.0,0.509090909090909,1.1272231474171935e+19
8825845658.816793,1000000000.0,0.509090909090909,1.1481113202429104e+19
8894913561.239334,1000000000.0,0.509090909090909,1.169132589788744e+19
8963981463.661877,1000000000.0,0.509090909090909,1.190286138608553e+19
9033049366.084417,1000000000.0,0.509090909090909,1.2115711595534836e+19
9102117268.50696,1000000000.0,0.509090909090909,1.2329868567107242e+19
9171185170.9295,1000000000.0,0.509090909090909,1.2545324443396256e+19
9240253073.352043,1000000000.0,0.509090909090909,1.2762071473279478e+19
9309320975.774584,1000000000.0,0.509090909090909,1.2980102001143402e+19
9378388878.197126,1000000000.0,0.509090909090909,1.3199408457825653e+19
9447456780.619667,1000000000.0,0.509090909090909,1.3419983362147848e+19
9516524683.04221,1000000000.0,0.509090909090909,1.3641819330310863e+19
9585592585.46475,1000000000.0,0.509090909090909,1.3864909066444843e+19
9654660487.887293,1000000000.0,0.509090909090909,1.4089245366247334e+19
9723728390.309834,1000000000.0,0.509090909090909,1.4314821110929502e+19
9792796292.732376,1000000000.0,0.509090909090909,1.4541629257499232e+19
9861864195.154919,1000000000.0,0.509090909090909,1.476966283683162e+19
9930932097.57746,1000000000.0,0.509090909090909,1.4998914960635451e+19
10000000000.0,1000000000.0,0.509090909090909,1.5229378822898362e+19
