D,T,Y,E
100000000,1000000000,0.509090909,4.85E+17
98989899.01,1000000000,0.509090909,4.82E+17
97979798.01,1000000000,0.509090909,4.80E+17
96969697.02,1000000000,0.509090909,4.78E+17
95959596.02,1000000000,0.509090909,4.76E+17
94949495.03,1000000000,0.509090909,4.74E+17
93939394.04,1000000000,0.509090909,4.72E+17
92929293.04,1000000000,0.509090909,4.70E+17
91919192.05,1000000000,0.509090909,4.67E+17
90909091.05,1000000000,0.509090909,4.65E+17
89898990.06,1000000000,0.509090909,4.63E+17
88888889.06,1000000000,0.509090909,4.61E+17
87878788.07,1000000000,0.509090909,4.58E+17
86868687.08,1000000000,0.509090909,4.56E+17
85858586.08,1000000000,0.509090909,4.54E+17
84848485.09,1000000000,0.509090909,4.51E+17
83838384.09,1000000000,0.509090909,4.49E+17
82828283.1,1000000000,0.509090909,4.47E+17
81818182.11,1000000000,0.509090909,4.44E+17
80808081.11,1000000000,0.509090909,4.42E+17
79797980.12,1000000000,0.509090909,4.40E+17
78787879.12,1000000000,0.509090909,4.37E+17
77777778.13,1000000000,0.509090909,4.35E+17
76767677.14,1000000000,0.509090909,4.32E+17
75757576.14,1000000000,0.509090909,4.30E+17
74747475.15,1000000000,0.509090909,4.27E+17
73737374.15,1000000000,0.509090909,4.25E+17
72727273.16,1000000000,0.509090909,4.22E+17
71717172.17,1000000000,0.509090909,4.20E+17
70707071.17,1000000000,0.509090909,4.17E+17
69696970.18,1000000000,0.509090909,4.15E+17
68686869.18,1000000000,0.509090909,4.12E+17
67676768.19,1000000000,0.509090909,4.09E+17
66666667.19,1000000000,0.509090909,4.07E+17
65656566.2,1000000000,0.509090909,4.04E+17
64646465.21,1000000000,0.509090909,4.01E+17
63636364.21,1000000000,0.509090909,3.99E+17
62626263.22,1000000000,0.509090909,3.96E+17
61616162.22,1000000000,0.509090909,3.93E+17
60606061.23,1000000000,0.509090909,3.90E+17
59595960.24,1000000000,0.509090909,3.87E+17
58585859.24,1000000000,0.509090909,3.84E+17
